bag_id,pnr_id,flight_number,bag_weight_kg,bag_dimensions_cm,bag_type,special_handling,priority_tag,security_flag,bag_status,check_in_time,boarding_time
BAG00044,PNR00023,1004,20.4,70x55x35,Transfer,1,0,0,Offloaded,2024-01-15T05:48:00,2024-01-15T08:13:00
BAG00045,PNR00024,1004,29.8,45x30x15,Oversized,0,0,0,In Transit,2024-01-15T06:50:00,2024-01-15T07:43:00
BAG00046,PNR00024,1004,12.6,45x30x15,Gate-Check,0,0,0,Offloaded,2024-01-15T06:36:00,2024-01-15T08:10:00
BAG00047,PNR00024,1004,27.1,60x45x25,Transfer,0,0,0,Loaded,2024-01-15T06:25:00,2024-01-15T08:10:00
BAG00048,PNR00024,1004,28.7,60x45x25,Carry-On,0,0,0,Offloaded,2024-01-15T04:49:00,2024-01-15T07:58:00
BAG00049,PNR00026,1005,7.4,65x50x30,Checked,0,0,0,Checked In,2024-01-15T09:11:00,2024-01-15T11:24:00
BAG00050,PNR00026,1005,5.4,70x55x35,Carry-On,0,0,0,In Transit,2024-01-15T09:18:00,2024-01-15T10:50:00
BAG00051,PNR00026,1005,25.6,65x50x30,Transfer,0,0,0,Offloaded,2024-01-15T07:51:00,2024-01-15T11:21:00
BAG00052,PNR00026,1005,22.1,50x35x18,Carry-On,0,0,0,Checked In,2024-01-15T08:31:00,2024-01-15T11:05:00
BAG00053,PNR00028,1005,19.3,70x55x35,Oversized,0,0,0,Checked In,2024-01-15T10:21:00,2024-01-15T11:11:00
BAG00054,PNR00028,1005,26,70x55x35,Carry-On,0,1,0,Offloaded,2024-01-15T07:58:00,2024-01-15T11:22:00
BAG00055,PNR00029,1006,30.1,45x30x15,Transfer,0,0,0,Checked In,2024-01-15T08:39:00,2024-01-15T11:32:00
BAG00056,PNR00031,1006,21.8,50x35x18,Priority,0,0,1,In Transit,2024-01-15T08:12:00,2024-01-15T11:40:00
BAG00057,PNR00031,1006,22,50x35x18,Oversized,0,0,0,Offloaded,2024-01-15T10:34:00,2024-01-15T11:29:00
BAG00058,PNR00033,1006,6.1,70x55x35,Oversized,0,0,0,Loaded,2024-01-15T09:20:00,2024-01-15T11:20:00
BAG00059,PNR00034,1007,20.2,65x50x30,Checked,0,0,1,Delivered,2024-01-15T06:22:00,2024-01-15T09:11:00
BAG00060,PNR00036,1007,17.3,50x35x18,Gate-Check,0,0,0,Loaded,2024-01-15T06:11:00,2024-01-15T08:56:00
BAG00061,PNR00037,1007,10.4,45x30x15,Priority,0,0,0,Checked In,2024-01-15T08:20:00,2024-01-15T09:07:00
BAG00062,PNR00038,1007,24.8,50x35x18,Gate-Check,0,0,0,Offloaded,2024-01-15T05:58:00,2024-01-15T08:42:00
BAG00063,PNR00038,1007,17.2,70x55x35,Fragile,0,0,0,Offloaded,2024-01-15T06:24:00,2024-01-15T09:05:00
BAG00064,PNR00038,1007,20.4,55x40x20,Gate-Check,0,0,0,Offloaded,2024-01-15T08:23:00,2024-01-15T09:05:00
BAG00065,PNR00038,1007,7.9,55x40x20,Oversized,0,0,0,Delivered,2024-01-15T06:30:00,2024-01-15T09:05:00
BAG00066,PNR00038,1007,19.1,70x55x35,Fragile,0,0,0,Loaded,2024-01-15T07:38:00,2024-01-15T08:49:00
BAG00067,PNR00039,1007,31.6,45x30x15,Carry-On,1,0,0,Checked In,2024-01-15T06:27:00,2024-01-15T09:02:00
BAG00068,PNR00040,1007,30.4,70x55x35,Oversized,0,1,0,Checked In,2024-01-15T07:57:00,2024-01-15T08:50:00
BAG00069,PNR00040,1007,31.6,70x55x35,Gate-Check,0,1,0,In Transit,2024-01-15T06:01:00,2024-01-15T09:13:00
BAG00070,PNR00041,1007,26.3,45x30x15,Fragile,0,0,0,In Transit,2024-01-15T07:32:00,2024-01-15T09:01:00
BAG00071,PNR00041,1007,6.6,50x35x18,Gate-Check,1,0,0,Loaded,2024-01-15T07:15:00,2024-01-15T09:01:00
BAG00072,PNR00041,1007,27.9,55x40x20,Oversized,0,0,0,Offloaded,2024-01-15T07:52:00,2024-01-15T08:59:00
BAG00073,PNR00041,1007,22.9,50x35x18,Carry-On,0,0,0,In Transit,2024-01-15T07:37:00,2024-01-15T08:40:00
BAG00074,PNR00042,1008,31.8,45x30x15,Gate-Check,0,0,0,Offloaded,2024-01-15T12:40:00,2024-01-15T16:01:00
BAG00075,PNR00042,1008,11.4,55x40x20,Priority,0,0,0,Delivered,2024-01-15T15:04:00,2024-01-15T15:40:00
BAG00076,PNR00042,1008,18,60x45x25,Gate-Check,0,0,0,Checked In,2024-01-15T14:41:00,2024-01-15T16:09:00
BAG00077,PNR00042,1008,12.6,65x50x30,Transfer,0,0,0,Delivered,2024-01-15T14:25:00,2024-01-15T16:08:00
BAG00078,PNR00043,1008,13.6,50x35x18,Oversized,0,0,0,Delivered,2024-01-15T14:35:00,2024-01-15T15:58:00
BAG00079,PNR00043,1008,29.9,60x45x25,Checked,0,0,0,Delivered,2024-01-15T13:32:00,2024-01-15T15:47:00
BAG00080,PNR00043,1008,9.4,45x30x15,Priority,0,0,0,Offloaded,2024-01-15T13:48:00,2024-01-15T15:57:00
BAG00081,PNR00043,1008,16.3,45x30x15,Oversized,1,0,0,Offloaded,2024-01-15T12:34:00,2024-01-15T16:12:00
BAG00082,PNR00043,1008,10,65x50x30,Carry-On,0,0,0,Checked In,2024-01-15T13:52:00,2024-01-15T15:55:00
BAG00083,PNR00044,1008,7.6,45x30x15,Carry-On,0,0,0,Checked In,2024-01-15T13:36:00,2024-01-15T16:07:00
BAG00084,PNR00044,1008,30.8,45x30x15,Transfer,0,0,0,In Transit,2024-01-15T14:20:00,2024-01-15T16:01:00
BAG00085,PNR00045,1008,31,55x40x20,Transfer,0,0,0,Checked In,2024-01-15T12:35:00,2024-01-15T16:00:00
BAG00086,PNR00046,1009,27.5,45x30x15,Fragile,1,0,0,Delivered,2024-01-15T07:30:00,2024-01-15T08:22:00
BAG00087,PNR00046,1009,12.5,70x55x35,Gate-Check,0,0,0,Loaded,2024-01-15T05:36:00,2024-01-15T08:03:00
BAG00088,PNR00048,1009,30.4,70x55x35,Priority,0,0,0,Checked In,2024-01-15T07:13:00,2024-01-15T08:09:00
BAG00089,PNR00048,1009,18.6,45x30x15,Transfer,0,0,0,In Transit,2024-01-15T06:25:00,2024-01-15T08:18:00
BAG00090,PNR00050,1010,7.8,70x55x35,Carry-On,0,0,0,Loaded,2024-01-15T17:55:00,2024-01-15T20:14:00
BAG00091,PNR00050,1010,13.8,70x55x35,Gate-Check,0,0,0,In Transit,2024-01-15T18:37:00,2024-01-15T19:52:00
BAG00092,PNR00051,1010,23.3,50x35x18,Checked,1,1,0,Offloaded,2024-01-15T18:35:00,2024-01-15T19:51:00
BAG00093,PNR00051,1010,8.5,45x30x15,Priority,1,0,0,Loaded,2024-01-15T16:44:00,2024-01-15T19:41:00
BAG00094,PNR00053,1010,14.8,45x30x15,Oversized,0,0,0,Loaded,2024-01-15T19:12:00,2024-01-15T19:58:00
BAG00095,PNR00053,1010,24.4,45x30x15,Gate-Check,1,0,0,In Transit,2024-01-15T18:29:00,2024-01-15T19:55:00
BAG00096,PNR00054,1010,17.6,50x35x18,Transfer,0,0,0,Checked In,2024-01-15T18:50:00,2024-01-15T20:12:00
BAG00097,PNR00054,1010,15.5,45x30x15,Priority,1,0,0,Offloaded,2024-01-15T16:55:00,2024-01-15T19:59:00
BAG00098,PNR00054,1010,20.7,65x50x30,Priority,0,0,0,Loaded,2024-01-15T18:28:00,2024-01-15T19:48:00
BAG00099,PNR00055,1011,27.4,55x40x20,Oversized,1,0,0,In Transit,2024-01-15T01:34:00,2024-01-15T04:46:00
BAG00100,PNR00055,1011,9.1,50x35x18,Oversized,0,0,0,Offloaded,2024-01-15T01:53:00,2024-01-15T04:23:00
BAG00101,PNR00055,1011,27.5,50x35x18,Oversized,0,0,0,In Transit,2024-01-15T02:41:00,2024-01-15T04:40:00
BAG00102,PNR00055,1011,23.1,60x45x25,Carry-On,0,0,0,Checked In,2024-01-15T03:15:00,2024-01-15T04:40:00
BAG00103,PNR00056,1011,22,70x55x35,Transfer,0,0,0,In Transit,2024-01-15T02:26:00,2024-01-15T04:18:00
BAG00104,PNR00056,1011,9.6,60x45x25,Gate-Check,0,0,0,In Transit,2024-01-15T02:44:00,2024-01-15T04:25:00
BAG00105,PNR00056,1011,20.5,55x40x20,Priority,0,0,0,Offloaded,2024-01-15T03:57:00,2024-01-15T04:20:00
BAG00106,PNR00056,1011,29.9,45x30x15,Priority,1,0,0,Checked In,2024-01-15T01:48:00,2024-01-15T04:39:00
BAG00107,PNR00057,1011,5.6,50x35x18,Priority,1,0,0,In Transit,2024-01-15T01:48:00,2024-01-15T04:22:00
BAG00108,PNR00058,1011,11.8,55x40x20,Fragile,0,0,0,Checked In,2024-01-15T01:22:00,2024-01-15T04:17:00
BAG00109,PNR00058,1011,27.8,55x40x20,Oversized,1,0,0,Checked In,2024-01-15T02:54:00,2024-01-15T04:28:00
BAG00110,PNR00058,1011,26.9,55x40x20,Transfer,1,0,0,Loaded,2024-01-15T03:23:00,2024-01-15T04:46:00
BAG00111,PNR00058,1011,18.5,50x35x18,Fragile,0,0,0,Offloaded,2024-01-15T03:22:00,2024-01-15T04:41:00
BAG00112,PNR00060,1011,24.2,70x55x35,Carry-On,0,0,0,Checked In,2024-01-15T03:32:00,2024-01-15T04:30:00
BAG00113,PNR00062,1011,13.8,45x30x15,Transfer,0,0,0,Delivered,2024-01-15T02:39:00,2024-01-15T04:27:00
BAG00114,PNR00062,1011,29.3,65x50x30,Oversized,0,0,0,Delivered,2024-01-15T02:16:00,2024-01-15T04:30:00
BAG00115,PNR00062,1011,20.7,65x50x30,Fragile,0,0,0,Checked In,2024-01-15T04:00:00,2024-01-15T04:20:00
BAG00116,PNR00062,1011,30.5,70x55x35,Transfer,0,0,0,Loaded,2024-01-15T01:08:00,2024-01-15T04:23:00
BAG00117,PNR00063,1012,11.7,70x55x35,Transfer,0,1,0,In Transit,2024-01-15T14:05:00,2024-01-15T17:08:00
BAG00118,PNR00064,1012,23.1,65x50x30,Transfer,0,0,0,Loaded,2024-01-15T16:22:00,2024-01-15T17:27:00
BAG00119,PNR00064,1012,8.7,70x55x35,Checked,0,0,0,In Transit,2024-01-15T14:30:00,2024-01-15T17:24:00
BAG00120,PNR00065,1012,24.2,60x45x25,Gate-Check,0,0,0,Delivered,2024-01-15T16:05:00,2024-01-15T17:02:00
BAG00121,PNR00065,1012,22.1,70x55x35,Carry-On,0,0,0,Offloaded,2024-01-15T13:54:00,2024-01-15T16:56:00
BAG00122,PNR00065,1012,24.5,70x55x35,Priority,0,0,0,In Transit,2024-01-15T16:37:00,2024-01-15T17:19:00
BAG00123,PNR00065,1012,30.9,50x35x18,Transfer,1,0,0,Delivered,2024-01-15T16:11:00,2024-01-15T17:22:00
BAG00124,PNR00066,1012,18.8,55x40x20,Oversized,0,0,0,Offloaded,2024-01-15T16:03:00,2024-01-15T17:17:00
BAG00125,PNR00067,1012,25.3,55x40x20,Checked,0,0,0,Delivered,2024-01-15T13:43:00,2024-01-15T17:05:00
BAG00126,PNR00067,1012,22.4,70x55x35,Fragile,0,0,0,Loaded,2024-01-15T16:08:00,2024-01-15T17:13:00
BAG00127,PNR00067,1012,7.9,65x50x30,Fragile,0,0,0,Loaded,2024-01-15T15:40:00,2024-01-15T17:08:00
BAG00128,PNR00067,1012,20.2,65x50x30,Carry-On,1,0,0,Checked In,2024-01-15T15:10:00,2024-01-15T17:15:00
BAG00129,PNR00068,1012,26,65x50x30,Priority,0,0,0,In Transit,2024-01-15T14:29:00,2024-01-15T17:28:00
BAG00130,PNR00068,1012,5,60x45x25,Fragile,1,1,0,Offloaded,2024-01-15T15:23:00,2024-01-15T17:13:00
BAG00131,PNR00068,1012,19.1,70x55x35,Carry-On,0,0,0,Loaded,2024-01-15T14:18:00,2024-01-15T17:06:00
BAG00132,PNR00068,1012,10.7,65x50x30,Checked,0,0,0,Loaded,2024-01-15T15:23:00,2024-01-15T16:58:00
BAG00133,PNR00068,1012,29.3,55x40x20,Oversized,0,0,0,Loaded,2024-01-15T14:16:00,2024-01-15T17:21:00
BAG00134,PNR00071,1013,31.1,50x35x18,Checked,0,0,0,Checked In,2024-01-15T09:15:00,2024-01-15T12:33:00
BAG00135,PNR00072,1013,16,60x45x25,Priority,0,0,0,In Transit,2024-01-15T10:27:00,2024-01-15T12:41:00
BAG00136,PNR00072,1013,9.5,45x30x15,Transfer,1,0,0,In Transit,2024-01-15T11:58:00,2024-01-15T13:00:00
BAG00137,PNR00072,1013,24.5,55x40x20,Carry-On,0,0,0,Loaded,2024-01-15T10:59:00,2024-01-15T12:51:00
BAG00138,PNR00072,1013,31.6,70x55x35,Checked,0,0,0,Checked In,2024-01-15T10:36:00,2024-01-15T12:31:00
BAG00139,PNR00072,1013,20.6,65x50x30,Checked,0,0,0,Delivered,2024-01-15T11:30:00,2024-01-15T12:52:00
BAG00140,PNR00073,1013,28.5,50x35x18,Priority,0,1,0,Checked In,2024-01-15T12:03:00,2024-01-15T13:03:00
BAG00141,PNR00073,1013,25,65x50x30,Checked,0,0,0,Offloaded,2024-01-15T10:29:00,2024-01-15T13:05:00
BAG00142,PNR00074,1013,10.8,70x55x35,Gate-Check,0,0,0,Checked In,2024-01-15T09:22:00,2024-01-15T12:35:00
BAG00143,PNR00074,1013,23,45x30x15,Priority,1,0,0,In Transit,2024-01-15T11:11:00,2024-01-15T12:38:00
BAG00144,PNR00074,1013,14.9,50x35x18,Fragile,0,0,0,Checked In,2024-01-15T11:58:00,2024-01-15T13:00:00
BAG00145,PNR00075,1013,20.8,60x45x25,Oversized,1,1,0,Checked In,2024-01-15T09:54:00,2024-01-15T12:56:00
BAG00146,PNR00075,1013,8.8,45x30x15,Oversized,1,0,0,Checked In,2024-01-15T12:11:00,2024-01-15T12:36:00
BAG00147,PNR00075,1013,5.3,60x45x25,Gate-Check,1,0,0,In Transit,2024-01-15T10:06:00,2024-01-15T12:36:00
BAG00148,PNR00075,1013,16.3,65x50x30,Fragile,0,1,0,Delivered,2024-01-15T12:03:00,2024-01-15T13:00:00
BAG00149,PNR00075,1013,19.6,55x40x20,Carry-On,1,0,0,In Transit,2024-01-15T10:17:00,2024-01-15T13:04:00
BAG00150,PNR00076,1013,30.1,65x50x30,Gate-Check,0,0,0,Offloaded,2024-01-15T10:19:00,2024-01-15T12:59:00
BAG00151,PNR00076,1013,27.8,60x45x25,Transfer,0,0,0,Loaded,2024-01-15T11:05:00,2024-01-15T13:03:00
BAG00152,PNR00076,1013,27.8,55x40x20,Oversized,0,0,0,Delivered,2024-01-15T11:45:00,2024-01-15T12:33:00
BAG00153,PNR00076,1013,17.8,65x50x30,Carry-On,0,0,0,Loaded,2024-01-15T09:49:00,2024-01-15T12:34:00
BAG00154,PNR00077,1014,15.1,55x40x20,Transfer,0,0,0,Checked In,2024-01-15T15:22:00,2024-01-15T18:20:00
BAG00155,PNR00077,1014,26.1,65x50x30,Checked,1,0,0,In Transit,2024-01-15T15:14:00,2024-01-15T18:33:00
BAG00156,PNR00078,1014,20.7,50x35x18,Fragile,0,0,0,Offloaded,2024-01-15T17:04:00,2024-01-15T18:09:00
BAG00157,PNR00078,1014,12.4,65x50x30,Fragile,0,0,0,In Transit,2024-01-15T16:31:00,2024-01-15T18:30:00
BAG00158,PNR00079,1014,11.7,70x55x35,Gate-Check,0,0,0,Loaded,2024-01-15T15:07:00,2024-01-15T18:37:00
BAG00159,PNR00080,1014,21.5,55x40x20,Oversized,0,0,0,In Transit,2024-01-15T17:30:00,2024-01-15T18:37:00
BAG00160,PNR00080,1014,7.4,65x50x30,Priority,0,0,0,In Transit,2024-01-15T16:26:00,2024-01-15T18:07:00
BAG00161,PNR00081,1014,5.3,50x35x18,Priority,0,0,0,Checked In,2024-01-15T17:33:00,2024-01-15T18:30:00
BAG00162,PNR00081,1014,30.4,60x45x25,Oversized,0,0,0,Checked In,2024-01-15T15:15:00,2024-01-15T18:17:00
BAG00163,PNR00082,1014,25,55x40x20,Oversized,0,1,0,Offloaded,2024-01-15T17:20:00,2024-01-15T18:31:00
BAG00164,PNR00082,1014,14.8,65x50x30,Carry-On,0,0,0,Delivered,2024-01-15T17:17:00,2024-01-15T18:20:00
BAG00165,PNR00084,1015,8.2,45x30x15,Gate-Check,0,0,0,Offloaded,2024-01-15T05:16:00,2024-01-15T07:41:00
BAG00166,PNR00084,1015,23.4,65x50x30,Transfer,0,0,0,Checked In,2024-01-15T05:37:00,2024-01-15T07:47:00
BAG00167,PNR00085,1015,26.5,65x50x30,Oversized,0,0,0,In Transit,2024-01-15T06:15:00,2024-01-15T07:28:00
BAG00168,PNR00085,1015,9.4,45x30x15,Gate-Check,0,0,0,Delivered,2024-01-15T06:14:00,2024-01-15T07:45:00
BAG00169,PNR00085,1015,29,45x30x15,Fragile,0,0,0,Offloaded,2024-01-15T05:22:00,2024-01-15T07:51:00
BAG00170,PNR00086,1015,10.7,70x55x35,Carry-On,0,1,0,Loaded,2024-01-15T04:52:00,2024-01-15T07:20:00
BAG00171,PNR00086,1015,16.8,65x50x30,Gate-Check,0,0,0,Loaded,2024-01-15T05:24:00,2024-01-15T07:41:00
BAG00172,PNR00087,1015,26.9,50x35x18,Carry-On,0,0,0,Checked In,2024-01-15T05:48:00,2024-01-15T07:38:00
BAG00173,PNR00087,1015,20.5,65x50x30,Gate-Check,0,0,0,Checked In,2024-01-15T05:38:00,2024-01-15T07:26:00
BAG00174,PNR00088,1016,14.5,45x30x15,Priority,0,1,0,Loaded,2024-01-15T01:56:00,2024-01-15T04:37:00
BAG00175,PNR00088,1016,13.2,60x45x25,Checked,0,0,0,Offloaded,2024-01-15T01:29:00,2024-01-15T04:54:00
BAG00176,PNR00088,1016,31.7,45x30x15,Oversized,0,0,0,Delivered,2024-01-15T04:04:00,2024-01-15T04:43:00
BAG00177,PNR00089,1016,22.1,70x55x35,Gate-Check,0,1,0,Checked In,2024-01-15T03:14:00,2024-01-15T04:57:00
BAG00178,PNR00089,1016,11.3,55x40x20,Gate-Check,0,0,0,Checked In,2024-01-15T03:00:00,2024-01-15T04:34:00
BAG00179,PNR00089,1016,22,70x55x35,Oversized,0,0,0,Delivered,2024-01-15T03:15:00,2024-01-15T04:54:00
BAG00180,PNR00089,1016,15,60x45x25,Transfer,0,0,0,Checked In,2024-01-15T03:08:00,2024-01-15T04:26:00
BAG00181,PNR00090,1016,18.8,65x50x30,Gate-Check,1,0,0,Checked In,2024-01-15T02:20:00,2024-01-15T04:36:00
BAG00182,PNR00090,1016,14,70x55x35,Gate-Check,0,0,0,Offloaded,2024-01-15T02:21:00,2024-01-15T04:36:00
BAG00183,PNR00092,1016,26.2,45x30x15,Checked,0,0,0,In Transit,2024-01-15T02:45:00,2024-01-15T04:52:00
BAG00184,PNR00092,1016,15.4,60x45x25,Oversized,0,1,0,In Transit,2024-01-15T03:01:00,2024-01-15T04:28:00
BAG00185,PNR00092,1016,16,70x55x35,Gate-Check,0,0,0,Offloaded,2024-01-15T01:47:00,2024-01-15T04:56:00
BAG00186,PNR00092,1016,22.1,55x40x20,Fragile,0,0,0,In Transit,2024-01-15T03:01:00,2024-01-15T04:46:00
BAG00187,PNR00093,1016,32,55x40x20,Checked,0,0,0,Checked In,2024-01-15T04:05:00,2024-01-15T04:46:00
BAG00188,PNR00093,1016,13.3,65x50x30,Carry-On,0,0,0,In Transit,2024-01-15T02:58:00,2024-01-15T04:37:00
BAG00189,PNR00093,1016,17.2,60x45x25,Priority,0,0,0,In Transit,2024-01-15T03:12:00,2024-01-15T04:40:00
BAG00190,PNR00093,1016,8.9,65x50x30,Transfer,0,0,0,In Transit,2024-01-15T01:57:00,2024-01-15T04:43:00
BAG00191,PNR00094,1017,15.4,65x50x30,Priority,0,0,0,Loaded,2024-01-15T16:29:00,2024-01-15T20:12:00
BAG00192,PNR00094,1017,28,70x55x35,Checked,0,0,0,Offloaded,2024-01-15T18:21:00,2024-01-15T19:53:00
BAG00193,PNR00095,1017,22,70x55x35,Gate-Check,0,0,0,In Transit,2024-01-15T17:15:00,2024-01-15T20:13:00
BAG00194,PNR00095,1017,18,50x35x18,Priority,0,0,0,Checked In,2024-01-15T19:12:00,2024-01-15T19:51:00
BAG00195,PNR00096,1017,22.5,45x30x15,Oversized,0,0,0,Delivered,2024-01-15T16:42:00,2024-01-15T20:13:00
BAG00196,PNR00097,1017,24.2,60x45x25,Fragile,0,0,0,Loaded,2024-01-15T18:03:00,2024-01-15T19:41:00
BAG00197,PNR00097,1017,12.7,60x45x25,Priority,0,0,0,Checked In,2024-01-15T18:08:00,2024-01-15T20:10:00
BAG00198,PNR00097,1017,13.6,60x45x25,Fragile,0,0,0,Delivered,2024-01-15T17:28:00,2024-01-15T20:08:00
BAG00199,PNR00097,1017,21.5,55x40x20,Priority,0,0,0,Checked In,2024-01-15T17:48:00,2024-01-15T19:54:00
BAG00200,PNR00098,1017,20.3,50x35x18,Oversized,0,1,1,Delivered,2024-01-15T16:59:00,2024-01-15T19:45:00
BAG00201,PNR00099,1017,6.1,65x50x30,Transfer,0,0,0,Delivered,2024-01-15T16:36:00,2024-01-15T20:10:00
BAG00202,PNR00100,1018,26.3,65x50x30,Checked,0,0,0,Checked In,2024-01-15T03:37:00,2024-01-15T06:21:00
BAG00203,PNR00100,1018,22.4,50x35x18,Transfer,0,0,0,In Transit,2024-01-15T02:47:00,2024-01-15T06:33:00
BAG00204,PNR00100,1018,7.5,70x55x35,Checked,0,0,0,Checked In,2024-01-15T04:18:00,2024-01-15T06:34:00
BAG00205,PNR00100,1018,13,45x30x15,Carry-On,0,1,1,In Transit,2024-01-15T03:40:00,2024-01-15T06:08:00
BAG00206,PNR00100,1018,6.8,55x40x20,Priority,0,0,0,Checked In,2024-01-15T05:22:00,2024-01-15T06:25:00
