pnr_id,company_id,flight_number,scheduled_departure_date_local,passenger_count,special_service_requests,meal_preference,wheelchair_assistance,unaccompanied_minor,pet_travel,group_booking
PNR00062,UA,1011,2024-01-15,2,1,Gluten-Free,0,0,0,0
PNR00063,UA,1012,2024-01-15,4,2,Diabetic,0,0,0,0
PNR00064,UA,1012,2024-01-15,5,2,Standard,0,0,0,1
PNR00065,UA,1012,2024-01-15,2,4,Halal,0,0,0,0
PNR00066,UA,1012,2024-01-15,1,2,Vegetarian,0,0,0,0
PNR00067,UA,1012,2024-01-15,6,2,Halal,0,0,0,0
PNR00068,UA,1012,2024-01-15,6,3,Diabetic,0,0,0,1
PNR00069,UA,1013,2024-01-15,1,0,Vegetarian,0,0,0,0
PNR00070,UA,1013,2024-01-15,3,2,Gluten-Free,1,0,0,0
PNR00071,UA,1013,2024-01-15,1,3,Gluten-Free,0,1,0,0
PNR00072,UA,1013,2024-01-15,4,3,Gluten-Free,0,0,0,0
PNR00073,UA,1013,2024-01-15,2,4,Vegetarian,0,0,0,0
PNR00074,UA,1013,2024-01-15,5,0,Low-Sodium,0,0,0,0
PNR00075,UA,1013,2024-01-15,3,1,Vegetarian,0,0,0,0
PNR00076,UA,1013,2024-01-15,6,1,Diabetic,0,0,0,0
PNR00077,UA,1014,2024-01-15,1,3,Diabetic,0,0,1,0
PNR00078,UA,1014,2024-01-15,4,0,Halal,0,0,1,0
PNR00079,UA,1014,2024-01-15,1,2,Gluten-Free,0,0,0,0
PNR00080,UA,1014,2024-01-15,3,2,Vegetarian,0,0,0,0
PNR00081,UA,1014,2024-01-15,4,3,Low-Sodium,0,0,0,1
PNR00082,UA,1014,2024-01-15,4,0,Gluten-Free,0,0,1,1
PNR00083,UA,1015,2024-01-15,1,1,Kosher,0,0,0,0
PNR00084,UA,1015,2024-01-15,4,2,Standard,0,0,0,0
PNR00085,UA,1015,2024-01-15,2,4,Low-Sodium,0,0,0,0
PNR00086,UA,1015,2024-01-15,1,4,Vegetarian,0,0,0,0
PNR00087,UA,1015,2024-01-15,1,4,Kosher,0,0,0,0
PNR00088,UA,1016,2024-01-15,5,4,Diabetic,0,0,0,1
PNR00089,UA,1016,2024-01-15,5,1,Halal,0,0,1,0
PNR00090,UA,1016,2024-01-15,1,0,Gluten-Free,1,0,1,0
PNR00091,UA,1016,2024-01-15,4,4,Standard,0,0,0,1
PNR00092,UA,1016,2024-01-15,3,4,Vegan,1,0,0,0
PNR00093,UA,1016,2024-01-15,6,2,Gluten-Free,1,0,0,0
PNR00094,UA,1017,2024-01-15,4,2,Vegan,0,0,0,0
PNR00095,UA,1017,2024-01-15,5,0,Vegan,0,0,0,1
PNR00096,UA,1017,2024-01-15,6,4,Halal,0,0,0,0
PNR00097,UA,1017,2024-01-15,3,3,Low-Sodium,0,0,0,0
PNR00098,UA,1017,2024-01-15,6,2,Standard,0,0,0,1
PNR00099,UA,1017,2024-01-15,2,4,Vegan,0,0,0,0
PNR00100,UA,1018,2024-01-15,4,0,Vegan,0,0,0,1
PNR00101,UA,1018,2024-01-15,6,4,Kosher,0,0,0,1
PNR00102,UA,1018,2024-01-15,6,1,Vegetarian,0,0,0,1
PNR00103,UA,1018,2024-01-15,4,4,Vegetarian,0,0,0,0
PNR00104,UA,1018,2024-01-15,6,4,Vegetarian,0,0,0,0
PNR00105,UA,1018,2024-01-15,4,1,Gluten-Free,0,0,0,0
PNR00106,UA,1019,2024-01-15,2,1,Gluten-Free,1,0,0,0
PNR00107,UA,1019,2024-01-15,5,4,Diabetic,0,0,0,1
PNR00108,UA,1019,2024-01-15,3,2,Vegetarian,0,0,0,0
PNR00109,UA,1019,2024-01-15,2,3,Standard,0,0,0,0
PNR00110,UA,1019,2024-01-15,5,3,Standard,1,0,0,1
PNR00111,UA,1030,2024-01-16,2,1,Halal,0,0,0,0
PNR00112,UA,1030,2024-01-16,3,2,Halal,0,0,0,0
PNR00113,UA,1030,2024-01-16,1,2,Standard,0,0,0,0
PNR00114,UA,1030,2024-01-16,4,2,Halal,0,0,0,0
PNR00115,UA,1030,2024-01-16,2,3,Kosher,0,0,0,0
PNR00116,UA,1030,2024-01-16,5,4,Diabetic,0,0,1,0
PNR00117,UA,1030,2024-01-16,1,2,Halal,0,0,0,0
PNR00118,UA,1031,2024-01-16,2,3,Low-Sodium,0,0,0,0
PNR00119,UA,1031,2024-01-16,4,2,Gluten-Free,0,0,0,1
PNR00120,UA,1031,2024-01-16,1,0,Kosher,0,0,0,0
PNR00121,UA,1031,2024-01-16,4,2,Gluten-Free,0,1,0,0
PNR00122,UA,1031,2024-01-16,1,4,Halal,0,0,0,0
PNR00123,UA,1031,2024-01-16,3,1,Standard,0,0,0,0
PNR00124,UA,1032,2024-01-16,6,4,Vegan,0,0,0,0
PNR00125,UA,1032,2024-01-16,2,4,Vegetarian,1,0,0,0
PNR00126,UA,1032,2024-01-16,3,1,Halal,0,0,0,0
PNR00127,UA,1032,2024-01-16,5,1,Low-Sodium,0,0,0,1
PNR00128,UA,1032,2024-01-16,2,3,Diabetic,1,0,0,0
PNR00129,UA,1032,2024-01-16,6,0,Vegetarian,0,0,0,0
PNR00130,UA,1033,2024-01-16,4,1,Diabetic,0,0,0,1
PNR00131,UA,1033,2024-01-16,3,2,Low-Sodium,0,0,0,0
PNR00132,UA,1033,2024-01-16,4,2,Halal,0,0,0,1
PNR00133,UA,1033,2024-01-16,3,2,Gluten-Free,0,0,0,0
PNR00134,UA,1033,2024-01-16,6,2,Diabetic,0,0,0,0
PNR00135,UA,1033,2024-01-16,5,3,Gluten-Free,0,0,0,1
PNR00136,UA,1033,2024-01-16,4,0,Standard,1,0,1,0
PNR00137,UA,1034,2024-01-16,1,1,Halal,1,0,0,0
PNR00138,UA,1034,2024-01-16,6,4,Diabetic,0,0,0,1
PNR00139,UA,1034,2024-01-16,6,0,Halal,0,0,0,1
PNR00140,UA,1034,2024-01-16,5,0,Low-Sodium,0,0,0,0
PNR00141,UA,1034,2024-01-16,1,1,Vegetarian,0,0,0,0
PNR00142,UA,1034,2024-01-16,3,2,Gluten-Free,0,0,0,0
PNR00143,UA,1034,2024-01-16,1,1,Diabetic,0,0,0,0
PNR00144,UA,1034,2024-01-16,6,2,Halal,0,0,0,1
PNR00145,UA,1035,2024-01-16,2,4,Gluten-Free,0,0,0,0
PNR00146,UA,1035,2024-01-16,1,4,Gluten-Free,0,0,0,0
PNR00147,UA,1035,2024-01-16,4,4,Standard,0,1,0,1
PNR00148,UA,1035,2024-01-16,6,4,Low-Sodium,0,0,0,0
PNR00149,UA,1035,2024-01-16,3,3,Low-Sodium,0,0,0,0
PNR00150,UA,1036,2024-01-16,2,1,Low-Sodium,0,0,0,0
PNR00151,UA,1036,2024-01-16,1,0,Kosher,0,1,0,0
PNR00152,UA,1036,2024-01-16,2,4,Low-Sodium,0,0,0,0
PNR00153,UA,1036,2024-01-16,1,3,Gluten-Free,0,0,0,0
PNR00154,UA,1036,2024-01-16,3,0,Gluten-Free,0,0,0,0
PNR00155,UA,1036,2024-01-16,4,1,Low-Sodium,1,0,0,0
PNR00156,UA,1036,2024-01-16,1,0,Diabetic,1,0,0,0
PNR00157,UA,1037,2024-01-16,3,4,Standard,0,0,0,0
PNR00158,UA,1037,2024-01-16,2,2,Low-Sodium,0,0,0,0
PNR00159,UA,1037,2024-01-16,1,2,Vegetarian,1,0,1,0
PNR00160,UA,1037,2024-01-16,4,4,Diabetic,0,0,0,0
PNR00161,UA,1037,2024-01-16,5,0,Vegan,0,0,0,1
PNR00162,UA,1038,2024-01-16,3,0,Low-Sodium,1,0,0,0
PNR00163,UA,1038,2024-01-16,4,0,Diabetic,1,0,0,0
PNR00164,UA,1038,2024-01-16,2,1,Diabetic,0,0,0,0
PNR00165,UA,1039,2024-01-16,5,4,Vegan,0,0,0,1
PNR00166,UA,1039,2024-01-16,6,3,Vegetarian,0,0,0,0
PNR00167,UA,1039,2024-01-16,4,2,Standard,0,0,1,0
PNR00168,UA,1039,2024-01-16,5,2,Standard,1,0,0,1
PNR00169,UA,1039,2024-01-16,6,4,Gluten-Free,0,0,0,1
PNR00170,UA,1039,2024-01-16,1,3,Vegan,0,0,0,0
PNR00171,UA,1040,2024-01-16,5,3,Low-Sodium,1,0,0,1
PNR00172,UA,1040,2024-01-16,3,1,Halal,0,0,0,0
PNR00173,UA,1040,2024-01-16,2,1,Gluten-Free,0,0,0,0
PNR00174,UA,1040,2024-01-16,2,0,Kosher,0,0,0,0
PNR00175,UA,1040,2024-01-16,4,3,Vegetarian,0,0,0,1
PNR00176,UA,1040,2024-01-16,4,4,Kosher,0,0,0,0
PNR00177,UA,1040,2024-01-16,2,2,Gluten-Free,0,0,0,0
PNR00178,UA,1041,2024-01-16,5,4,Standard,0,0,0,0
PNR00179,UA,1041,2024-01-16,2,3,Vegan,0,0,0,0
PNR00180,UA,1041,2024-01-16,2,4,Vegan,1,0,0,0
PNR00181,UA,1041,2024-01-16,1,2,Halal,0,0,0,0
PNR00182,UA,1041,2024-01-16,1,4,Kosher,0,0,0,0
PNR00183,UA,1041,2024-01-16,2,0,Halal,0,0,0,0
PNR00184,UA,1041,2024-01-16,4,1,Kosher,0,0,0,0
PNR00185,UA,1042,2024-01-16,6,1,Gluten-Free,0,0,0,0
PNR00186,UA,1042,2024-01-16,6,4,Kosher,0,0,0,0
PNR00187,UA,1042,2024-01-16,6,2,Diabetic,0,0,0,1
PNR00188,UA,1043,2024-01-16,1,4,Diabetic,0,0,0,0
PNR00189,UA,1043,2024-01-16,2,4,Diabetic,0,0,0,0
PNR00190,UA,1043,2024-01-16,5,4,Vegetarian,0,0,0,0
PNR00191,UA,1043,2024-01-16,4,3,Standard,0,0,0,0
PNR00192,UA,1043,2024-01-16,5,2,Diabetic,0,0,0,0
PNR00193,UA,1043,2024-01-16,2,4,Vegan,0,1,0,0
PNR00194,UA,1044,2024-01-16,5,3,Vegan,0,0,0,0
PNR00195,UA,1044,2024-01-16,2,3,Halal,0,1,0,0
PNR00196,UA,1044,2024-01-16,5,0,Halal,0,0,0,1
PNR00197,UA,1044,2024-01-16,1,2,Vegan,1,0,0,0
PNR00198,UA,1044,2024-01-16,2,0,Kosher,0,0,0,0
PNR00199,UA,1044,2024-01-16,5,1,Gluten-Free,0,0,0,0
PNR00200,UA,1044,2024-01-16,3,3,Vegan,0,0,1,0
PNR00201,UA,1045,2024-01-16,1,2,Kosher,1,0,0,0
PNR00202,UA,1045,2024-01-16,3,1,Gluten-Free,0,0,0,0
PNR00203,UA,1045,2024-01-16,6,4,Low-Sodium,0,0,0,0
PNR00204,UA,1045,2024-01-16,5,1,Low-Sodium,0,0,1,1
PNR00205,UA,1045,2024-01-16,1,2,Vegetarian,1,0,0,0
PNR00206,UA,1045,2024-01-16,3,3,Vegan,0,0,0,0
PNR00207,UA,1045,2024-01-16,6,3,Vegetarian,0,0,1,0
PNR00208,UA,1046,2024-01-16,2,2,Halal,0,1,0,0
PNR00209,UA,1046,2024-01-16,5,3,Standard,0,0,0,0
PNR00210,UA,1046,2024-01-16,3,0,Kosher,0,0,1,0
PNR00211,UA,1046,2024-01-16,3,4,Low-Sodium,0,0,0,0
PNR00212,UA,1046,2024-01-16,4,4,Low-Sodium,0,0,0,0
PNR00213,UA,1046,2024-01-16,2,1,Standard,0,0,0,0
PNR00214,UA,1047,2024-01-16,4,4,Kosher,0,0,0,0
PNR00215,UA,1047,2024-01-16,3,0,Standard,0,0,0,0
PNR00216,UA,1047,2024-01-16,3,0,Kosher,0,0,0,0
PNR00217,UA,1047,2024-01-16,2,2,Standard,0,1,0,0
PNR00218,UA,1047,2024-01-16,5,3,Low-Sodium,0,0,0,0
PNR00219,UA,1047,2024-01-16,5,4,Halal,0,0,0,0
PNR00220,UA,1047,2024-01-16,4,2,Diabetic,0,0,0,1
PNR00221,UA,1048,2024-01-16,3,3,Diabetic,0,0,0,0
PNR00222,UA,1048,2024-01-16,2,4,Diabetic,0,0,0,0
PNR00223,UA,1048,2024-01-16,2,0,Standard,0,0,0,0
PNR00224,UA,1049,2024-01-16,3,0,Kosher,0,0,0,0
PNR00225,UA,1049,2024-01-16,3,4,Diabetic,0,0,0,0
PNR00226,UA,1049,2024-01-16,5,0,Halal,0,0,0,0
PNR00227,UA,1049,2024-01-16,4,2,Low-Sodium,0,0,0,0
PNR00228,UA,1049,2024-01-16,4,4,Diabetic,0,0,0,1
PNR00229,UA,1060,2024-01-17,1,1,Low-Sodium,0,0,0,0
PNR00230,UA,1060,2024-01-17,2,3,Gluten-Free,0,0,0,0
PNR00231,UA,1060,2024-01-17,2,4,Kosher,0,0,0,0
PNR00232,UA,1060,2024-01-17,4,1,Vegetarian,0,0,0,0
PNR00233,UA,1060,2024-01-17,6,3,Vegan,0,0,0,0
PNR00234,UA,1060,2024-01-17,5,4,Vegetarian,0,0,0,0
PNR00235,UA,1060,2024-01-17,1,2,Gluten-Free,0,1,0,0
PNR00236,UA,1061,2024-01-17,2,0,Kosher,0,0,0,0
PNR00237,UA,1061,2024-01-17,3,4,Diabetic,0,0,0,0
PNR00238,UA,1061,2024-01-17,3,4,Kosher,0,0,0,0
PNR00239,UA,1061,2024-01-17,5,4,Low-Sodium,0,0,0,0
PNR00240,UA,1061,2024-01-17,6,1,Vegetarian,0,0,0,0
PNR00241,UA,1061,2024-01-17,4,0,Diabetic,0,0,0,0
PNR00242,UA,1061,2024-01-17,4,3,Halal,0,0,0,0
PNR00243,UA,1062,2024-01-17,6,2,Gluten-Free,0,0,0,0
PNR00244,UA,1062,2024-01-17,6,3,Diabetic,0,0,0,0
PNR00245,UA,1062,2024-01-17,5,4,Halal,0,0,0,1
PNR00246,UA,1062,2024-01-17,2,0,Vegan,0,0,0,0
PNR00247,UA,1062,2024-01-17,3,2,Diabetic,1,0,0,0
PNR00248,UA,1062,2024-01-17,1,3,Low-Sodium,0,0,0,0
PNR00249,UA,1063,2024-01-17,3,0,Standard,1,0,0,0
PNR00250,UA,1063,2024-01-17,2,3,Vegan,0,0,0,0
PNR00251,UA,1063,2024-01-17,3,1,Gluten-Free,0,0,0,0
PNR00252,UA,1063,2024-01-17,1,3,Kosher,0,0,0,0
PNR00253,UA,1063,2024-01-17,1,1,Kosher,0,1,0,0
PNR00254,UA,1063,2024-01-17,4,4,Gluten-Free,1,0,0,0
PNR00255,UA,1063,2024-01-17,1,1,Gluten-Free,0,0,0,0
PNR00256,UA,1063,2024-01-17,4,1,Gluten-Free,0,0,0,1
PNR00257,UA,1064,2024-01-17,5,2,Vegan,0,0,0,0
PNR00258,UA,1064,2024-01-17,1,3,Standard,0,0,0,0
PNR00259,UA,1064,2024-01-17,6,1,Kosher,0,0,0,1
PNR00260,UA,1064,2024-01-17,4,3,Standard,1,0,0,0
PNR00261,UA,1064,2024-01-17,1,3,Diabetic,0,0,0,0
PNR00262,UA,1064,2024-01-17,1,1,Low-Sodium,0,0,0,0
PNR00263,UA,1064,2024-01-17,1,1,Kosher,0,0,0,0
PNR00264,UA,1065,2024-01-17,1,0,Halal,0,0,0,0
PNR00265,UA,1065,2024-01-17,2,0,Standard,0,0,0,0
PNR00266,UA,1065,2024-01-17,6,4,Low-Sodium,0,0,0,1
PNR00267,UA,1065,2024-01-17,4,1,Vegetarian,0,0,0,0
PNR00268,UA,1065,2024-01-17,6,4,Diabetic,0,0,0,0
PNR00269,UA,1065,2024-01-17,6,2,Diabetic,0,0,0,0
PNR00270,UA,1066,2024-01-17,1,4,Gluten-Free,0,0,0,0
PNR00271,UA,1066,2024-01-17,6,3,Standard,1,0,0,1
PNR00272,UA,1066,2024-01-17,6,0,Vegan,0,0,0,0
PNR00273,UA,1066,2024-01-17,1,1,Gluten-Free,0,0,0,0
PNR00274,UA,1066,2024-01-17,3,1,Standard,0,0,0,0
PNR00275,UA,1066,2024-01-17,5,2,Halal,0,0,0,0
PNR00276,UA,1066,2024-01-17,2,4,Gluten-Free,0,0,0,0
PNR00277,UA,1066,2024-01-17,4,3,Low-Sodium,0,0,0,0
PNR00278,UA,1067,2024-01-17,2,3,Low-Sodium,0,0,0,0
PNR00279,UA,1067,2024-01-17,5,1,Kosher,0,0,0,1
PNR00280,UA,1067,2024-01-17,2,3,Standard,0,1,0,0
PNR00281,UA,1067,2024-01-17,5,0,Vegan,0,0,0,0
PNR00282,UA,1068,2024-01-17,5,3,Gluten-Free,0,0,0,0
PNR00283,UA,1068,2024-01-17,4,3,Gluten-Free,0,0,0,1
PNR00284,UA,1068,2024-01-17,1,0,Low-Sodium,0,0,0,0
PNR00285,UA,1068,2024-01-17,3,4,Gluten-Free,0,0,0,0
PNR00286,UA,1068,2024-01-17,1,2,Vegan,0,0,0,0
PNR00287,UA,1068,2024-01-17,6,3,Gluten-Free,0,0,0,0
PNR00288,UA,1069,2024-01-17,2,3,Halal,0,0,0,0
PNR00289,UA,1069,2024-01-17,3,2,Halal,0,0,0,0
PNR00290,UA,1069,2024-01-17,5,1,Low-Sodium,0,0,0,1
PNR00291,UA,1069,2024-01-17,5,1,Gluten-Free,0,0,0,0
PNR00292,UA,1069,2024-01-17,3,4,Diabetic,0,0,0,0
PNR00293,UA,1069,2024-01-17,4,4,Vegetarian,0,0,0,0
PNR00294,UA,1070,2024-01-17,6,3,Vegan,0,0,0,0
PNR00295,UA,1070,2024-01-17,6,3,Halal,0,0,0,0
PNR00296,UA,1070,2024-01-17,3,3,Gluten-Free,0,0,0,0
PNR00297,UA,1070,2024-01-17,3,2,Vegetarian,1,0,0,0
PNR00298,UA,1070,2024-01-17,4,0,Gluten-Free,0,0,0,0
PNR00299,UA,1071,2024-01-17,4,0,Halal,0,0,0,1
PNR00300,UA,1071,2024-01-17,3,4,Gluten-Free,0,0,0,0
PNR00301,UA,1071,2024-01-17,6,1,Low-Sodium,0,0,0,0
PNR00302,UA,1071,2024-01-17,4,4,Gluten-Free,0,0,0,0
PNR00303,UA,1071,2024-01-17,4,3,Vegan,0,0,0,0
PNR00304,UA,1071,2024-01-17,2,0,Halal,0,0,0,0
PNR00305,UA,1072,2024-01-17,5,2,Kosher,0,0,0,0
PNR00306,UA,1072,2024-01-17,4,1,Gluten-Free,0,0,0,0
PNR00307,UA,1072,2024-01-17,5,3,Halal,0,0,0,0
PNR00308,UA,1072,2024-01-17,6,1,Standard,1,1,0,0
PNR00309,UA,1072,2024-01-17,1,4,Gluten-Free,0,0,0,0
PNR00310,UA,1072,2024-01-17,5,2,Kosher,0,0,0,0
PNR00311,UA,1072,2024-01-17,2,4,Kosher,0,0,0,0
PNR00312,UA,1072,2024-01-17,5,4,Kosher,0,0,0,0
PNR00313,UA,1073,2024-01-17,4,0,Vegan,0,0,0,0
PNR00314,UA,1073,2024-01-17,1,1,Kosher,0,0,0,0
PNR00315,UA,1073,2024-01-17,1,1,Halal,0,0,0,0
PNR00316,UA,1073,2024-01-17,3,2,Vegetarian,0,0,0,0
PNR00317,UA,1074,2024-01-17,4,0,Vegan,0,0,0,0
PNR00318,UA,1074,2024-01-17,5,2,Gluten-Free,0,0,0,1
PNR00319,UA,1074,2024-01-17,2,3,Halal,0,0,0,0
PNR00320,UA,1074,2024-01-17,2,1,Gluten-Free,0,0,0,0
PNR00321,UA,1074,2024-01-17,5,3,Diabetic,0,1,0,0
PNR00322,UA,1074,2024-01-17,6,2,Vegan,0,0,0,1
PNR00323,UA,1074,2024-01-17,6,0,Gluten-Free,0,0,0,1
PNR00324,UA,1075,2024-01-17,1,2,Gluten-Free,0,0,0,0
PNR00325,UA,1075,2024-01-17,3,0,Kosher,0,0,0,0
PNR00326,UA,1075,2024-01-17,3,1,Diabetic,0,0,0,0
PNR00327,UA,1075,2024-01-17,4,2,Low-Sodium,0,0,0,0
PNR00328,UA,1075,2024-01-17,2,0,Halal,0,0,0,0
PNR00329,UA,1075,2024-01-17,2,4,Halal,0,0,0,0
PNR00330,UA,1075,2024-01-17,2,4,Standard,0,0,0,0
PNR00331,UA,1075,2024-01-17,1,1,Vegan,0,0,0,0
PNR00332,UA,1076,2024-01-17,1,3,Vegan,0,0,0,0
PNR00333,UA,1076,2024-01-17,1,3,Diabetic,0,0,0,0
PNR00334,UA,1076,2024-01-17,5,4,Standard,0,0,0,0
PNR00335,UA,1076,2024-01-17,3,0,Gluten-Free,0,0,0,0
PNR00336,UA,1077,2024-01-17,2,0,Vegetarian,0,0,0,0
PNR00337,UA,1077,2024-01-17,4,3,Vegetarian,0,0,0,1
PNR00338,UA,1077,2024-01-17,1,3,Halal,0,0,0,0
PNR00339,UA,1077,2024-01-17,4,4,Halal,0,1,0,0
PNR00340,UA,1077,2024-01-17,2,4,Gluten-Free,0,0,0,0
PNR00341,UA,1078,2024-01-17,5,0,Halal,1,0,0,0
PNR00342,UA,1078,2024-01-17,6,2,Diabetic,0,0,0,0
PNR00343,UA,1078,2024-01-17,2,2,Vegetarian,0,0,0,0
PNR00344,UA,1079,2024-01-17,1,4,Vegan,0,0,1,0
PNR00345,UA,1079,2024-01-17,3,4,Vegan,1,0,0,0
PNR00346,UA,1079,2024-01-17,5,3,Vegetarian,0,0,0,0
PNR00347,UA,1079,2024-01-17,2,4,Standard,0,0,0,0
PNR00348,UA,1079,2024-01-17,4,2,Diabetic,0,0,0,0
PNR00349,UA,1080,2024-01-17,6,3,Diabetic,0,0,1,0
PNR00350,UA,1080,2024-01-17,6,3,Standard,0,0,0,0
PNR00351,UA,1080,2024-01-17,1,0,Gluten-Free,0,0,0,0
PNR00352,UA,1081,2024-01-17,4,2,Vegetarian,0,0,0,0
PNR00353,UA,1081,2024-01-17,4,4,Low-Sodium,1,0,0,0
PNR00354,UA,1081,2024-01-17,5,2,Standard,0,0,0,0
PNR00355,UA,1090,2024-01-18,5,1,Vegan,0,0,0,0
PNR00356,UA,1090,2024-01-18,4,3,Diabetic,1,0,0,0
PNR00357,UA,1090,2024-01-18,3,3,Vegan,0,0,0,0
PNR00358,UA,1090,2024-01-18,2,1,Halal,1,0,0,0
PNR00359,UA,1090,2024-01-18,1,0,Diabetic,0,0,0,0
PNR00360,UA,1090,2024-01-18,3,0,Vegetarian,0,0,0,0
PNR00361,UA,1090,2024-01-18,5,0,Kosher,0,0,0,0
PNR00362,UA,1090,2024-01-18,1,2,Kosher,0,0,0,0
PNR00363,UA,1091,2024-01-18,2,0,Standard,0,0,0,0
PNR00364,UA,1091,2024-01-18,5,4,Standard,0,0,0,0
PNR00365,UA,1091,2024-01-18,5,4,Kosher,1,1,0,0
PNR00366,UA,1091,2024-01-18,3,2,Vegan,0,0,0,0
PNR00367,UA,1091,2024-01-18,2,0,Halal,0,0,0,0
PNR00368,UA,1091,2024-01-18,5,2,Kosher,0,0,0,0
PNR00369,UA,1092,2024-01-18,5,3,Vegan,0,0,0,0
PNR00370,UA,1092,2024-01-18,5,0,Gluten-Free,0,0,0,0
PNR00371,UA,1092,2024-01-18,2,0,Low-Sodium,0,0,0,0
PNR00372,UA,1092,2024-01-18,1,0,Vegetarian,0,0,0,0
PNR00373,UA,1092,2024-01-18,6,3,Kosher,0,0,0,1
PNR00374,UA,1092,2024-01-18,4,2,Diabetic,0,0,0,1
